Image_ID,class,confidence,ymin,xmin,ymax,xmax,Path
id_u3q6jdck4j.jpg,Trophozoite,1.0,712,1241,737,1270,C:\Users\Owner\.cache\kagglehub\datasets\rajsahu2004\lacuna-malaria-detection-dataset\versions\1/images/id_u3q6jdck4j.jpg
id_a6cl90trri.jpg,Trophozoite,1.0,558,1566,600,1604,C:\Users\Owner\.cache\kagglehub\datasets\rajsahu2004\lacuna-malaria-detection-dataset\versions\1/images/id_a6cl90trri.jpg
id_qvc2le9sm8.jpg,Trophozoite,1.0,1317,2788,1448,2914,C:\Users\Owner\.cache\kagglehub\datasets\rajsahu2004\lacuna-malaria-detection-dataset\versions\1/images/id_qvc2le9sm8.jpg
id_w8xnbd5rvm.jpg,Trophozoite,1.0,925,1744,1041,1823,C:\Users\Owner\.cache\kagglehub\datasets\rajsahu2004\lacuna-malaria-detection-dataset\versions\1/images/id_w8xnbd5rvm.jpg
id_6dop09rk02.jpg,NEG,1.0,0,0,0,0,C:\Users\Owner\.cache\kagglehub\datasets\rajsahu2004\lacuna-malaria-detection-dataset\versions\1/images/id_6dop09rk02.jpg
id_i7r9hkhxvx.jpg,WBC,1.0,846,906,903,963,C:\Users\Owner\.cache\kagglehub\datasets\rajsahu2004\lacuna-malaria-detection-dataset\versions\1/images/id_i7r9hkhxvx.jpg
id_fzogq9kijh.jpg,WBC,1.0,641,280,711,373,C:\Users\Owner\.cache\kagglehub\datasets\rajsahu2004\lacuna-malaria-detection-dataset\versions\1/images/id_fzogq9kijh.jpg
id_i8qcpi8ey9.jpg,Trophozoite,1.0,501,1141,532,1170,C:\Users\Owner\.cache\kagglehub\datasets\rajsahu2004\lacuna-malaria-detection-dataset\versions\1/images/id_i8qcpi8ey9.jpg
id_y0me081u0v.jpg,NEG,1.0,0,0,0,0,C:\Users\Owner\.cache\kagglehub\datasets\rajsahu2004\lacuna-malaria-detection-dataset\versions\1/images/id_y0me081u0v.jpg
id_2phbgf1x5m.jpg,Trophozoite,1.0,687,1169,725,1205,C:\Users\Owner\.cache\kagglehub\datasets\rajsahu2004\lacuna-malaria-detection-dataset\versions\1/images/id_2phbgf1x5m.jpg
id_8l8zssuabc.jpg,Trophozoite,1.0,1807,1992,1897,2082,C:\Users\Owner\.cache\kagglehub\datasets\rajsahu2004\lacuna-malaria-detection-dataset\versions\1/images/id_8l8zssuabc.jpg
id_i4d0ulpq39.jpg,WBC,1.0,799,838,863,906,C:\Users\Owner\.cache\kagglehub\datasets\rajsahu2004\lacuna-malaria-detection-dataset\versions\1/images/id_i4d0ulpq39.jpg
